번호,제목,내용,지역,지원분야대,사업번호,지원기간,지원대상,업종,조회수,활성화,등록일자,접수기관_담당부서,기업형태,접수기관명,접수팀,접수기관_전화번호,접수기관_홈페이지URL,접수기관_담당자명,접수기관_담당자e-mail
1,2020년 2차 식품의약품안전처 출연연구개발과제 주관연구기관 공모 재공고,"<p style=""margin: 0px"">식품ㆍ의약품 등 안전관리 정책의 과학적 근거 마련과 안전관리 선진화를 위해 신속 제품화 및 안전성 예측ㆍ평가 기반기술개발 비용을 지원해 드리는 사업입니다.<br />&nbsp;</p>
<p style=""margin: 0px"">☞ 정부출연연구기관, 기업부설연구소, 연구기관 또는 단체 대상<br />&nbsp;<br />☞ 의약품 등 안전관리, 안전성 평가기술 개발연구 지원</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@공동기술개발,PBLN_000000000051155,20200311 ~ 20200318,중소기업,"전문, 과학 및 기술 서비스업(70~73)",93,1,2020-03-13 10:03,식품의약품안전처,중소기업@중견기업,식품의약품안전평가원,연구관리TF팀,043-719-6109,http://www.nifds.go.kr/,사업담당자,NULL
2,2020년 연구개발 시제업체 선정을 위한 제안서 공모(독소작용제 해독기술 연구),"방위사업법 및 방위사업관리규정에 의거 2020년 국과연주관 핵심기술(시험개발) 연구개발 과제로 신규 착수 예정인 과제(독소작용제 해독기술 연구)의 시제인 '비임상 시험용 해독제'에 대한 시제업체 선정을 위한 시제제작 제안서를 공모합니다.<br />&nbsp;<br />☞ 방산업체, 일반업체, 전문연구기관 또는 일반연구기관<br />&nbsp;<br />☞ '비임상 시험용 해독제' 시제 공모",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@혼합(단독+공동),PBLN_000000000051207,20200311 ~ 20200428,중소기업,"전문, 과학 및 기술 서비스업(70~73)",66,1,2020-03-13 9:57,방위사업청,중소기업@중견기업,국방과학연구소,사업담당부서,042-821-3150,http://www.add.re.kr/,유치호,NULL
3,2020년 디지털 헬스케어 생태계 구축사업 기업지원 사업 공고,"국내 디지털 헬스케어 확산과 오픈이노베이션 생태계 구축을 위해 시험분석 및 기술서비스에 필요한 사업비를 지원해 드리는 사업입니다.<br />&nbsp;<br />☞&nbsp;국내 디지털 헬스케어 산업분야 제조 기업(SW기업 포함)<br />&nbsp;<br />☞ 시험분석(기업당 10,000천원 이내), 기술서비스(기업당 5,000천원 이내) 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@경영@기술@기술사업화/이전/지도@디자인/상품화/사업화@시험/인증,PBLN_000000000051158,사업별 상이,중소기업,제조업(10~34),171,1,2020-03-13 9:27,산업통상자원부,중소기업,연세대학교,원주세브란스기독병원 임상지원센터,하단의 문의처 참조,https://www.ywmc.or.kr/,분야별 사업담당자,NULL
4,2020년 연구개발 시제업체 선정을 위한 제안서 공모(QoS 적응형 복합무선전송ㆍ다계층 연동기술),"방위사업법 및 방위사업관리규정에 의거 2020년 국과연주관 핵심기술(시험개발) 연구개발 과제로 신규 착수 예정인 과제(QoS 적응형 복합무선전송/다계층 연동기술)의 시제인 'QoS 적응형 복합무선전송/다계층 연동 시스템'에 대한 시제업체 선정을 위한 시제제작 제안서를 공모합니다. <br />&nbsp;<br />☞ 방산업체, 일반업체, 전문연구기관 또는 일반연구기관<br />&nbsp;<br />☞ 'QoS 적응형 복합무선전송/다계층 연동 시스템' 시제 공모",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충남@전북@충북@전남@경북@경남@제주,기술@혼합(단독+공동),PBLN_000000000051206,20200309 ~ 20200427,중소기업,"전문, 과학 및 기술 서비스업(70~73)",86,1,2020-03-13 9:22,방위사업청,중소기업@중견기업,국방과학연구소,사업담당부서,042-821-2584,http://www.add.re.kr/,김인겸,NULL
5,2020년 1인 창조기업 마케팅 지원사업 공고,1인 창조기업의 판로확대 및 사업화 역량 강화를 위하여 창의적 제품 및 지식서비스를 홍보하기 위한 국내외 마케팅 활동을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 1인 창조기업 지원센터에 입주 중인 (예비)1인 창조기업<br />&nbsp;<br />☞ 평가등급별 5백만원~12백만원 한도 내 지원,충북@충남@전북@전남@경북@경남@제주@서울@부산@대구@인천@광주@대전@울산@세종@경기@강원,창업@내수@수출@사업화지원@홍보지원@해외수출준비,PBLN_000000000051177,20200327 ~ 20200407,창업벤처,"농업, 임업 및 어업(01~03)@광업(05~08)@제조업(10~34)@전기, 가스, 증기 및 공기 조절 공급업(35)@수도, 하수 및 폐기물 처리, 원료 재생업(36~39)@건설업(41~42)@도매 및 소매업(45~47)@운수 및 창고업(49~52)@숙박 및 음식점업(55~56)@정보통신업(58~63)@금융 및 보험업(64~66)@부동산업(68)@전문, 과학 및 기술 서비스업(70~73)@사업시설 관리, 사업 지원 및 임대 서비스업(74~76)@공공 행정, 국방 및 사회보장 행정(84)@교육 서비스업(85)@보건업 및 사회복지 서비스업(86~87)@예술, 스포츠 및 여가관련 서비스업(90~91)@협회 및 단체, 수리 및 기타 개인 서비스업(94~96)@가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동(97~98)@국제 및 외국기관(99)",940,1,2020-03-12 16:32,중소벤처기업부,1인기업@창업기업@예비창업자,창업진흥원,교육문화부,042-480-4335,https://www.kised.or.kr/,사업담당자,NULL
6,2020년 2차 식품의약품안전처 용역연구개발과제 주관연구기관 공모 재공고,"<p style=""margin: 0px"">식품, 의약품, 의료기기 등의 안전관리 체계 마련 및 안전관리 제고를 위하여 용역연구개발과제의 연구개발을 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 정부출연연구기관, 기업부설연구소, 연구기관 또는 단체 대상</p>
<p style=""margin: 0px"">&nbsp;</p>
<p style=""margin: 0px"">☞ 식품ㆍ의약품ㆍ의료기기 등 안전관리 연구개발 지원</p>",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@혼합(단독+공동),PBLN_000000000051189,20200311 ~ 20200318,중소기업,"전문, 과학 및 기술 서비스업(70~73)",144,1,2020-03-12 16:28,식품의약품안전처,중소기업@중견기업,식품의약품안전평가원,연구관리TF팀,043-719-6104,http://www.nifds.go.kr/,사업담당자,NULL
7,2020년 중국 왕홍 온라인 소비대전 참가기업 모집 공고,"화장품, 식품 등 소비재 분야에 특화된 중국 유력 왕홍 2명 (팔로워 총 30만명)의 생방송 중계를 통해 젊은 소비자 대상 제품 설명/시연 기회를 제공하여 국내 기업 브랜드 홍보 및 타오바오 입점 연계 등을 지원해 드리는 사업입니다<br />&nbsp;<br />☞ 국내 소비재 분야 중소ㆍ중견기업<br />&nbsp;<br />☞ 왕홍(2명) 개인 생방송 판매 및 판매용 물량 물류비 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,수출@경영@해외진출@디자인/상품화/사업화,PBLN_000000000051178,20200311 ~ 20200324,중소기업,제조업(10~34),509,1,2020-03-12 16:18,중소벤처기업부,중소기업,대한무역투자진흥공사,충칭무역관,-6981,http://www.kotra.or.kr/,이형직,NULL
8,2020년 (예비)창업기업 VRㆍAR 콘텐츠 아이디어 상용화 지원사업 공고,"VRㆍAR 분야의 다양한 우수 콘텐츠 발굴 및 기업 육성을 위하여 예비창업자 및 창업 3년 이하 중소기업을 대상으로&nbsp;아이디어 구체화, 시제품 제작, 상용화를 단계적으로 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 예비창업자 및 창업 3년 이하 중소기업<br />&nbsp;<br />☞ 아이디어 구체화를 위한 멘토링, 시제품 제작, 상용화 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,창업@경영@기술@사업화지원@디자인/상품화/사업화@기술사업화/이전/지도,PBLN_000000000051203,20200323 ~ 20200409,창업벤처,제조업(10~34)@정보통신업(58~63),396,1,2020-03-12 16:12,과학기술정보통신부,중소기업@창업기업@예비창업자,정보통신산업진흥원,VRㆍAR산업팀,043-931-5661,http://www.nipa.kr/,허은주,hej@nipa.kr
9,2020년 고령친화아이템 사업화 및 시장진출 활성화 지원사업 참여업체 모집 공고,"유망 고령친화 기술ㆍ제품ㆍ서비스의 조기 사업화 및 시장 확대를 위하여 기업의 비즈니스 모델 점검, 사업화 역량, 기술의 완성도 및 시장성 등의 분석을 통한 사업화 진단 및 컨설팅을 지원해 드리는 사업입니다. <br />&nbsp;<br />☞ 기술성숙도(TRL) 7단계 이상의 고령친화아이템을 보유한 국내 고령친화산업체<br />&nbsp;<br />☞ 사업화 기획, 사업화 및 시장진출 업체별 맞춤형 지원",서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,경영@기술@수출@디자인/상품화/사업화@기술사업화/이전/지도@해외진출,PBLN_000000000051187,20200310 ~ 20200326,중소기업,제조업(10~34)@정보통신업(58~63),428,1,2020-03-12 16:03,보건복지부,중소기업@중견기업,한국보건산업진흥원,고령친화산업지원센터,043-713-8804,https://www.khidi.or.kr/,이경신,leesjks@khidi.or.kr
10,2020년 중소 업사이클 기업 사업화 지원사업 공고,지속가능한 사회 구축의 환경적 가치를 실현하고 업사이클 기업의 안정적인 시장 진입 및 수익 창출에 기여하기 위하여 성장단계에 따른 맞춤형 사업화를 지원해 드리는 사업입니다.<br />&nbsp;<br />☞ 재활용가능자원 및 재활용제품 등을 원재료로 사용하여 새로운 부가가치를 창출하는 디자인 제품 등을 제조ㆍ판매하는 기업<br />&nbsp;<br />☞ 기업별 최대 1천만원 ~ 1억원 지원,서울@부산@대구@인천@광주@대전@울산@세종@경기@강원@충북@충남@전북@전남@경북@경남@제주,기술@경영@금융@기술사업화/이전/지도@디자인/상품화/사업화@펀드/투자,PBLN_000000000051198,20200311 ~ 20200330,중소기업,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",530,1,2020-03-12 15:54,환경부,중소기업,한국환경산업협회,국내산업육성팀,02-6933-9516,http://keia.kr/,박지훈,minari@keia.kr
